wavelength,intensity
177.471,0.31
177.858,0.43
178.245,0.35
178.632,0.36
179.019,0
179.406,0.37
179.792,0.11
180.179,0.39
180.566,0.45
180.953,0.37
181.34,0.79
181.726,0
182.113,0
182.499,-0.74
182.886,0.74
183.273,0
183.659,1.12
184.045,0.15
184.432,0.3
184.818,0.37
185.205,0.37
185.591,0.34
185.977,0.35
186.363,0.33
186.75,0.29
187.136,0.28
187.522,0.28
187.908,0.26
188.294,0.27
188.68,0.28
189.066,0.27
189.452,0.25
189.838,0.24
190.224,0.24
190.609,0.25
190.995,0.26
191.381,0.25
191.767,0.24
192.152,0.24
192.538,0.24
192.923,0.24
193.309,0.24
193.694,0.26
194.08,0.27
194.465,0.27
194.851,0.27
195.236,0.26
195.621,0.27
196.007,0.28
196.392,0.29
196.777,0.28
197.162,0.27
197.547,0.27
197.933,0.26
198.318,0.27
198.703,0.27
199.088,0.28
199.473,0.27
199.857,0.27
200.242,0.26
200.627,0.26
201.012,0.27
201.397,0.27
201.781,0.28
202.166,0.27
202.551,0.26
202.935,0.27
203.32,0.26
203.704,0.26
204.089,0.25
204.473,0.24
204.858,0.24
205.242,0.23
205.626,0.24
206.011,0.23
206.395,0.23
206.779,0.21
207.163,0.21
207.548,0.22
207.932,0.22
208.316,0.23
208.7,0.24
209.084,0.26
209.468,0.26
209.852,0.26
210.235,0.26
210.619,0.27
211.003,0.29
211.387,0.3
211.771,0.29
212.154,0.29
212.538,0.29
212.921,0.29
213.305,0.28
213.689,0.27
214.072,0.29
214.456,0.29
214.839,0.31
215.222,0.32
215.606,0.31
215.989,0.32
216.372,0.33
216.755,0.34
217.139,0.35
217.522,0.36
217.905,0.37
218.288,0.36
218.671,0.36
219.054,0.35
219.437,0.33
219.82,0.34
220.203,0.35
220.586,0.37
220.968,0.38
221.351,0.39
221.734,0.41
222.117,0.43
222.499,0.42
222.882,0.42
223.264,0.43
223.647,0.45
224.029,0.45
224.412,0.45
224.794,0.45
225.177,0.45
225.559,0.44
225.941,0.44
226.324,0.42
226.706,0.45
227.088,0.46
227.47,0.48
227.852,0.49
228.234,0.5
228.616,0.52
228.998,0.51
229.38,0.52
229.762,0.53
230.144,0.56
230.526,0.58
230.908,0.58
231.289,0.6
231.671,0.6
232.053,0.6
232.435,0.61
232.816,0.59
233.198,0.62
233.579,0.62
233.961,0.61
234.342,0.62
234.724,0.62
235.105,0.63
235.486,0.63
235.868,0.65
236.249,0.66
236.63,0.66
237.011,0.68
237.392,0.69
237.773,0.7
238.154,0.74
238.536,0.73
238.917,0.75
239.297,0.73
239.678,0.73
240.059,0.73
240.44,0.74
240.821,0.75
241.202,0.73
241.582,0.73
241.963,0.72
242.344,0.71
242.724,0.72
243.105,0.72
243.485,0.73
243.866,0.72
244.246,0.72
244.627,0.72
245.007,0.73
245.387,0.76
245.768,0.75
246.148,0.76
246.528,0.76
246.908,0.76
247.288,0.78
247.668,0.78
248.048,0.81
248.428,0.82
248.808,0.81
249.188,0.81
249.568,0.8
249.948,0.82
250.328,0.83
250.708,0.85
251.087,0.84
251.467,0.85
251.847,0.84
252.226,0.85
252.606,0.85
252.985,0.86
253.365,0.85
253.744,0.85
254.124,0.84
254.503,0.86
254.882,0.84
255.262,0.84
255.641,0.83
256.02,0.84
256.399,0.83
256.779,0.84
257.158,0.84
257.537,0.84
257.916,0.85
258.295,0.84
258.674,0.83
259.053,0.84
259.431,0.84
259.81,0.84
260.189,0.83
260.568,0.83
260.946,0.84
261.325,0.85
261.704,0.87
262.082,0.87
262.461,0.89
262.839,0.89
263.218,0.89
263.596,0.9
263.975,0.92
264.353,0.94
264.731,0.95
265.11,0.93
265.488,0.91
265.866,0.9
266.244,0.9
266.622,0.91
267,0.91
267.378,0.92
267.756,0.92
268.134,0.93
268.512,0.94
268.89,0.94
269.268,0.96
269.646,0.96
270.024,0.97
270.401,0.97
270.779,0.97
271.157,0.99
271.534,1.01
271.912,1.02
272.289,1.02
272.667,1.02
273.044,1.03
273.422,1.03
273.799,1.06
274.176,1.06
274.554,1.09
274.931,1.09
275.308,1.11
275.685,1.11
276.062,1.11
276.439,1.13
276.816,1.14
277.193,1.16
277.57,1.18
277.947,1.2
278.324,1.23
278.701,1.24
279.078,1.27
279.454,1.26
279.831,1.27
280.208,1.29
280.584,1.31
280.961,1.3
281.338,1.3
281.714,1.31
282.091,1.32
282.467,1.33
282.843,1.32
283.22,1.33
283.596,1.36
283.972,1.38
284.349,1.38
284.725,1.38
285.101,1.39
285.477,1.39
285.853,1.38
286.229,1.4
286.605,1.39
286.981,1.41
287.357,1.4
287.733,1.4
288.109,1.41
288.485,1.4
288.86,1.42
289.236,1.43
289.612,1.44
289.987,1.45
290.363,1.44
290.738,1.46
291.114,1.46
291.489,1.48
291.865,1.48
292.24,1.5
292.616,1.53
292.991,1.52
293.366,1.54
293.741,1.54
294.117,1.56
294.492,1.59
294.867,1.57
295.242,1.59
295.617,1.57
295.992,1.58
296.367,1.57
296.742,1.56
297.117,1.56
297.491,1.55
297.866,1.54
298.241,1.53
298.616,1.52
298.99,1.52
299.365,1.51
299.74,1.52
300.114,1.5
300.489,1.51
300.863,1.51
301.237,1.52
301.612,1.52
301.986,1.52
302.36,1.53
302.735,1.51
303.109,1.51
303.483,1.5
303.857,1.49
304.231,1.5
304.605,1.49
304.979,1.48
305.353,1.46
305.727,1.46
306.101,1.45
306.475,1.45
306.849,1.45
307.223,1.44
307.596,1.43
307.97,1.43
308.344,1.42
308.717,1.42
309.091,1.42
309.464,1.41
309.838,1.4
310.211,1.41
310.585,1.41
310.958,1.41
311.331,1.4
311.705,1.4
312.078,1.4
312.451,1.4
312.824,1.39
313.197,1.39
313.57,1.39
313.943,1.39
314.316,1.38
314.689,1.38
315.062,1.38
315.435,1.38
315.808,1.37
316.181,1.37
316.553,1.37
316.926,1.36
317.299,1.36
317.671,1.35
318.044,1.35
318.417,1.35
318.789,1.35
319.161,1.34
319.534,1.33
319.906,1.33
320.279,1.33
320.651,1.33
321.023,1.33
321.395,1.34
321.767,1.34
322.14,1.33
322.512,1.33
322.884,1.33
323.256,1.33
323.628,1.33
324,1.33
324.371,1.33
324.743,1.33
325.115,1.33
325.487,1.32
325.859,1.32
326.23,1.32
326.602,1.32
326.973,1.32
327.345,1.32
327.717,1.32
328.088,1.33
328.459,1.33
328.831,1.32
329.202,1.33
329.573,1.32
329.945,1.32
330.316,1.32
330.687,1.31
331.058,1.31
331.429,1.31
331.8,1.31
332.171,1.31
332.542,1.3
332.913,1.3
333.284,1.29
333.655,1.28
334.026,1.27
334.397,1.27
334.767,1.27
335.138,1.27
335.509,1.26
335.879,1.25
336.25,1.24
336.62,1.24
336.991,1.23
337.361,1.23
337.732,1.23
338.102,1.22
338.472,1.22
338.842,1.21
339.213,1.21
339.583,1.21
339.953,1.2
340.323,1.19
340.693,1.19
341.063,1.18
341.433,1.17
341.803,1.16
342.173,1.15
342.543,1.14
342.913,1.13
343.282,1.13
343.652,1.12
344.022,1.11
344.391,1.1
344.761,1.09
345.13,1.08
345.5,1.08
345.869,1.07
346.239,1.06
346.608,1.05
346.978,1.04
347.347,1.03
347.716,1.02
348.085,1.02
348.455,1
348.824,1
349.193,0.99
349.562,0.98
349.931,0.97
350.3,0.96
350.669,0.95
351.038,0.95
351.406,0.93
351.775,0.92
352.144,0.91
352.513,0.91
352.881,0.9
353.25,0.89
353.619,0.88
353.987,0.87
354.356,0.86
354.724,0.86
355.092,0.85
355.461,0.84
355.829,0.83
356.197,0.83
356.566,0.82
356.934,0.81
357.302,0.8
357.67,0.79
358.038,0.78
358.406,0.78
358.774,0.77
359.142,0.76
359.51,0.75
359.878,0.75
360.246,0.74
360.614,0.73
360.981,0.73
361.349,0.72
361.717,0.71
362.084,0.71
362.452,0.7
362.819,0.7
363.187,0.69
363.554,0.68
363.922,0.68
364.289,0.67
364.656,0.67
365.024,0.66
365.391,0.66
365.758,0.65
366.125,0.64
366.492,0.64
366.859,0.63
367.227,0.63
367.593,0.62
367.96,0.62
368.327,0.62
368.694,0.61
369.061,0.61
369.428,0.6
369.794,0.6
370.161,0.6
370.528,0.59
370.894,0.59
371.261,0.59
371.627,0.58
371.994,0.58
372.36,0.58
372.727,0.57
373.093,0.57
373.459,0.57
373.826,0.56
374.192,0.56
374.558,0.56
374.924,0.55
375.29,0.55
375.656,0.55
376.022,0.55
376.388,0.54
376.754,0.54
377.12,0.54
377.486,0.54
377.852,0.53
378.217,0.53
378.583,0.53
378.949,0.53
379.314,0.53
379.68,0.53
380.045,0.52
380.411,0.52
380.776,0.52
381.142,0.52
381.507,0.52
381.872,0.52
382.238,0.52
382.603,0.52
382.968,0.52
383.333,0.51
383.698,0.51
384.063,0.51
384.428,0.51
384.793,0.51
385.158,0.51
385.523,0.51
385.888,0.51
386.253,0.51
386.618,0.51
386.982,0.51
387.347,0.51
387.712,0.51
388.076,0.51
388.441,0.51
388.805,0.51
389.17,0.51
389.534,0.51
389.898,0.51
390.263,0.51
390.627,0.51
390.991,0.51
391.356,0.51
391.72,0.51
392.084,0.51
392.448,0.51
392.812,0.51
393.176,0.51
393.54,0.51
393.904,0.51
394.268,0.51
394.631,0.52
394.995,0.52
395.359,0.52
395.723,0.52
396.086,0.52
396.45,0.52
396.813,0.52
397.177,0.52
397.54,0.52
397.904,0.52
398.267,0.52
398.63,0.53
398.994,0.53
399.357,0.53
399.72,0.53
400.083,0.53
400.446,0.53
400.809,0.53
401.173,0.54
401.535,0.54
401.898,0.54
402.261,0.54
402.624,0.54
402.987,0.55
403.35,0.55
403.712,0.55
404.075,0.55
404.438,0.55
404.8,0.56
405.163,0.56
405.525,0.56
405.888,0.56
406.25,0.56
406.613,0.57
406.975,0.57
407.337,0.57
407.7,0.57
408.062,0.57
408.424,0.57
408.786,0.58
409.148,0.58
409.51,0.58
409.872,0.58
410.234,0.58
410.596,0.59
410.958,0.59
411.32,0.59
411.681,0.59
412.043,0.59
412.405,0.6
412.766,0.6
413.128,0.6
413.49,0.6
413.851,0.6
414.213,0.61
414.574,0.61
414.935,0.61
415.297,0.61
415.658,0.61
416.019,0.62
416.38,0.62
416.742,0.62
417.103,0.62
417.464,0.62
417.825,0.63
418.186,0.63
418.547,0.63
418.908,0.64
419.268,0.64
419.629,0.64
419.99,0.64
420.351,0.64
420.711,0.65
421.072,0.65
421.433,0.65
421.793,0.65
422.154,0.66
422.514,0.66
422.874,0.66
423.235,0.67
423.595,0.67
423.955,0.67
424.316,0.68
424.676,0.68
425.036,0.68
425.396,0.69
425.756,0.69
426.116,0.69
426.476,0.7
426.836,0.7
427.196,0.7
427.556,0.7
427.915,0.71
428.275,0.71
428.635,0.72
428.995,0.72
429.354,0.72
429.714,0.72
430.073,0.73
430.433,0.73
430.792,0.73
431.152,0.73
431.511,0.74
431.87,0.74
432.229,0.74
432.589,0.74
432.948,0.74
433.307,0.74
433.666,0.75
434.025,0.75
434.384,0.75
434.743,0.75
435.102,0.76
435.461,0.76
435.82,0.76
436.178,0.76
436.537,0.77
436.896,0.77
437.254,0.77
437.613,0.78
437.972,0.78
438.33,0.78
438.689,0.79
439.047,0.79
439.405,0.79
439.764,0.79
440.122,0.8
440.48,0.8
440.838,0.8
441.196,0.8
441.555,0.81
441.913,0.81
442.271,0.81
442.629,0.81
442.987,0.82
443.344,0.82
443.702,0.82
444.06,0.82
444.418,0.82
444.776,0.82
445.133,0.83
445.491,0.83
445.848,0.83
446.206,0.83
446.563,0.84
446.921,0.84
447.278,0.84
447.636,0.84
447.993,0.85
448.35,0.85
448.707,0.85
449.064,0.85
449.422,0.86
449.779,0.86
450.136,0.86
450.493,0.86
450.85,0.86
451.206,0.87
451.563,0.87
451.92,0.87
452.277,0.87
452.634,0.88
452.99,0.88
453.347,0.88
453.704,0.88
454.06,0.89
454.417,0.89
454.773,0.89
455.129,0.89
455.486,0.89
455.842,0.9
456.198,0.9
456.555,0.9
456.911,0.9
457.267,0.9
457.623,0.9
457.979,0.9
458.335,0.9
458.691,0.91
459.047,0.91
459.403,0.91
459.759,0.91
460.114,0.91
460.47,0.91
460.826,0.91
461.181,0.92
461.537,0.92
461.892,0.92
462.248,0.92
462.603,0.92
462.959,0.92
463.314,0.92
463.67,0.92
464.025,0.92
464.38,0.92
464.735,0.92
465.09,0.92
465.445,0.92
465.801,0.92
466.156,0.92
466.51,0.93
466.865,0.93
467.22,0.93
467.575,0.93
467.93,0.93
468.285,0.93
468.639,0.93
468.994,0.93
469.349,0.93
469.703,0.93
470.058,0.93
470.412,0.93
470.766,0.93
471.121,0.93
471.475,0.93
471.829,0.93
472.184,0.93
472.538,0.93
472.892,0.93
473.246,0.93
473.6,0.93
473.954,0.93
474.308,0.94
474.662,0.94
475.016,0.93
475.37,0.94
475.723,0.94
476.077,0.94
476.431,0.94
476.785,0.94
477.138,0.94
477.492,0.94
477.845,0.95
478.199,0.95
478.552,0.95
478.905,0.95
479.259,0.95
479.612,0.95
479.965,0.95
480.318,0.96
480.672,0.96
481.025,0.96
481.378,0.96
481.731,0.96
482.084,0.96
482.437,0.96
482.789,0.96
483.142,0.97
483.495,0.97
483.848,0.97
484.2,0.97
484.553,0.97
484.906,0.97
485.258,0.97
485.611,0.97
485.963,0.97
486.316,0.97
486.668,0.98
487.02,0.98
487.373,0.98
487.725,0.97
488.077,0.98
488.429,0.98
488.781,0.98
489.133,0.98
489.485,0.97
489.837,0.98
490.189,0.98
490.541,0.98
490.893,0.98
491.245,0.98
491.596,0.98
491.948,0.98
492.3,0.97
492.651,0.98
493.003,0.98
493.354,0.98
493.706,0.97
494.057,0.97
494.408,0.97
494.76,0.97
495.111,0.97
495.462,0.97
495.813,0.97
496.164,0.97
496.515,0.97
496.867,0.97
497.217,0.97
497.568,0.97
497.919,0.97
498.27,0.96
498.621,0.96
498.972,0.96
499.322,0.96
499.673,0.96
500.024,0.96
500.374,0.96
500.725,0.95
501.075,0.95
501.426,0.95
501.776,0.95
502.126,0.95
502.477,0.95
502.827,0.95
503.177,0.94
503.527,0.94
503.877,0.94
504.227,0.94
504.577,0.94
504.927,0.94
505.277,0.94
505.627,0.94
505.977,0.94
506.327,0.94
506.677,0.94
507.026,0.94
507.376,0.94
507.725,0.93
508.075,0.93
508.424,0.93
508.774,0.93
509.123,0.93
509.473,0.93
509.822,0.93
510.171,0.93
510.521,0.93
510.87,0.93
511.219,0.93
511.568,0.93
511.917,0.92
512.266,0.92
512.615,0.92
512.964,0.92
513.313,0.92
513.661,0.91
514.01,0.91
514.359,0.91
514.708,0.91
515.056,0.91
515.405,0.91
515.753,0.9
516.102,0.9
516.45,0.9
516.799,0.9
517.147,0.9
517.495,0.9
517.843,0.9
518.192,0.9
518.54,0.89
518.888,0.89
519.236,0.89
519.584,0.89
519.932,0.89
520.28,0.89
520.628,0.88
520.975,0.88
521.323,0.88
521.671,0.88
522.019,0.88
522.366,0.88
522.714,0.87
523.061,0.87
523.409,0.87
523.756,0.87
524.104,0.87
524.451,0.86
524.798,0.86
